point,gxxx,gxxy,gxxz,gxyz,gyyx,gyyy,gyyz,gzzx,gzzy,gzzz,size,ratio
0,1.70743911608e-06,9.91028548288e-20,1.71969457802e-06,8.97325528498e-21,2.02153606095e-06,4.00223067578e-20,5.24687087452e-07,3.14096944868e-07,2.05405489709e-20,2.24438166548e-06,30.0,0.0
1,8.17428264202e-08,1.9105290688e-06,1.82847824441e-06,5.29293602343e-08,6.51585485448e-07,1.80285915876e-06,4.32095406333e-07,5.69842659027e-07,1.07669910037e-07,2.26057365074e-06,30.0,0.0
2,1.54004528695e-06,1.5067539189e-06,1.87061604067e-06,4.21108988811e-08,7.73363255092e-07,9.59973666174e-07,3.67342164827e-07,7.66682031863e-07,5.46780252729e-07,2.2379582055e-06,30.0,0.0
3,2.28192073495e-07,4.4980569182e-06,1.57383549762e-06,1.27626518123e-07,5.65202740471e-07,3.45563651278e-06,5.41947861032e-07,3.37010666976e-07,1.04242040542e-06,2.11578335865e-06,30.0,0.0
4,2.04969259975e-06,2.19366173833e-06,1.25378727224e-06,6.36485072424e-08,1.89933268135e-06,1.68195716912e-06,7.40988504388e-07,1.50359918401e-07,5.11704569216e-07,1.99477577663e-06,30.0,0.0
5,2.04969259975e-06,2.19366173833e-06,1.25378727224e-06,6.36485072424e-08,1.89933268135e-06,1.68195716912e-06,7.40988504388e-07,1.50359918401e-07,5.11704569216e-07,1.99477577663e-06,30.0,0.0
6,2.28192073495e-07,4.4980569182e-06,1.57383549762e-06,1.27626518123e-07,5.65202740471e-07,3.45563651278e-06,5.41947861032e-07,3.37010666976e-07,1.04242040542e-06,2.11578335865e-06,30.0,0.0
7,1.54004528695e-06,1.5067539189e-06,1.87061604067e-06,4.21108988811e-08,7.73363255092e-07,9.59973666174e-07,3.67342164827e-07,7.66682031863e-07,5.46780252729e-07,2.2379582055e-06,30.0,0.0
8,8.17428264203e-08,1.9105290688e-06,1.82847824441e-06,5.29293602343e-08,6.51585485448e-07,1.80285915876e-06,4.32095406333e-07,5.69842659027e-07,1.07669910037e-07,2.26057365074e-06,30.0,0.0
9,1.70743911608e-06,2.63374307037e-21,1.71969457802e-06,4.30133918528e-23,2.02153606095e-06,2.57253170504e-22,5.24687087452e-07,3.14096944868e-07,1.17790519228e-21,2.24438166548e-06,30.0,0.0
10,1.48771606011e-06,1.86347248396e-19,2.87353862201e-06,1.20702194984e-20,2.34964761526e-05,2.08370105025e-19,1.66987929032e-06,2.20087600925e-05,6.77626357803e-20,4.54341791233e-06,30.0,0.0
11,3.6443874969e-05,3.69823381527e-05,4.59465600649e-06,1.31890257064e-06,1.67066244277e-06,2.84546010647e-05,7.38892438909e-07,3.47732125263e-05,8.52773708801e-06,5.3335484454e-06,30.0,0.0
12,8.98768118647e-05,9.47324913219e-06,6.49208439065e-06,4.64277010569e-07,4.16217699513e-05,6.21107957393e-06,4.54920033744e-07,4.82550419133e-05,3.26216955826e-06,6.0371643569e-06,30.0,0.0
13,2.43093352642e-05,3.90763211125e-05,3.67699508768e-06,1.77277554638e-06,3.29993186516e-06,2.70814484346e-05,9.46040582917e-07,2.76092671293e-05,1.19948726779e-05,4.6230356706e-06,30.0,0.0
14,6.44750665386e-06,1.10870613847e-05,1.64734592424e-06,6.606846573e-07,1.82270462359e-05,6.51655776488e-06,1.72387713753e-06,1.17795395821e-05,4.57050361979e-06,3.37122306177e-06,30.0,0.0
15,6.44750665386e-06,1.10870613847e-05,1.64734592424e-06,6.606846573e-07,1.82270462359e-05,6.51655776488e-06,1.72387713753e-06,1.17795395821e-05,4.57050361979e-06,3.37122306177e-06,30.0,0.0
16,2.43093352642e-05,3.90763211125e-05,3.67699508768e-06,1.77277554638e-06,3.29993186516e-06,2.70814484346e-05,9.46040582917e-07,2.76092671293e-05,1.19948726779e-05,4.6230356706e-06,30.0,0.0
17,8.98768118647e-05,9.47324913219e-06,6.49208439065e-06,4.64277010569e-07,4.16217699513e-05,6.21107957393e-06,4.54920033744e-07,4.82550419133e-05,3.26216955826e-06,6.0371643569e-06,30.0,0.0
