point,file,gxxx,gxxy,gxxz,gxyz,gyyx,gyyy,gyyz,gzzx,gzzy,gzzz,ratio,size
0,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,1.70743911608e-06,9.91028548288e-20,-1.55473799865e-06,8.97325528498e-21,-2.02153606095e-06,-4.00223067578e-20,-3.59730508078e-07,3.14096944868e-07,-2.05405489709e-20,1.91446850673e-06,0.0,30.0
1,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,8.17428264202e-08,1.9105290688e-06,-1.66352166504e-06,5.29293602343e-08,-6.51585485448e-07,-1.80285915876e-06,-2.67138826959e-07,5.69842659027e-07,-1.07669910037e-07,1.93066049199e-06,0.0,30.0
2,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,-1.54004528695e-06,-1.5067539189e-06,-1.7056594613e-06,-4.21108988811e-08,7.73363255092e-07,9.59973666174e-07,-2.02385585453e-07,7.66682031863e-07,5.46780252729e-07,1.90804504675e-06,0.0,30.0
3,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,2.28192073495e-07,-4.4980569182e-06,-1.40887891825e-06,-1.27626518123e-07,-5.65202740471e-07,3.45563651278e-06,-3.76991281658e-07,3.37010666976e-07,1.04242040542e-06,1.7858701999e-06,0.0,30.0
4,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,2.04969259975e-06,-2.19366173833e-06,-1.08883069287e-06,-6.36485072424e-08,-1.89933268135e-06,1.68195716912e-06,-5.76031925014e-07,-1.50359918401e-07,5.11704569216e-07,1.66486261788e-06,0.0,30.0
5,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,2.04969259975e-06,2.19366173833e-06,-1.08883069287e-06,6.36485072424e-08,-1.89933268135e-06,-1.68195716912e-06,-5.76031925014e-07,-1.50359918401e-07,-5.11704569216e-07,1.66486261788e-06,0.0,30.0
6,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,2.28192073495e-07,4.4980569182e-06,-1.40887891825e-06,1.27626518123e-07,-5.65202740471e-07,-3.45563651278e-06,-3.76991281658e-07,3.37010666976e-07,-1.04242040542e-06,1.7858701999e-06,0.0,30.0
7,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,-1.54004528695e-06,1.5067539189e-06,-1.7056594613e-06,4.21108988811e-08,7.73363255092e-07,-9.59973666174e-07,-2.02385585453e-07,7.66682031863e-07,-5.46780252729e-07,1.90804504675e-06,0.0,30.0
8,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,8.17428264203e-08,-1.9105290688e-06,-1.66352166504e-06,-5.29293602343e-08,-6.51585485448e-07,1.80285915876e-06,-2.67138826959e-07,5.69842659027e-07,1.07669910037e-07,1.93066049199e-06,0.0,30.0
9,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,1.70743911608e-06,2.63374307037e-21,-1.55473799865e-06,-4.30133918528e-23,-2.02153606095e-06,2.57253170504e-22,-3.59730508078e-07,3.14096944868e-07,-1.17790519228e-21,1.91446850673e-06,0.0,30.0
10,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,-1.48771606011e-06,-1.86347248396e-19,-2.70858204264e-06,1.20702194984e-20,2.34964761526e-05,-2.08370105025e-19,-1.50492271094e-06,-2.20087600925e-05,6.77626357803e-20,4.21350475358e-06,0.0,30.0
11,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,3.6443874969e-05,3.69823381527e-05,-4.42969942712e-06,-1.31890257064e-06,-1.67066244277e-06,-2.84546010647e-05,-5.73935859535e-07,-3.47732125263e-05,-8.52773708801e-06,5.00363528665e-06,0.0,30.0
12,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,8.98768118647e-05,-9.47324913219e-06,-6.32712781127e-06,4.64277010569e-07,-4.16217699513e-05,6.21107957393e-06,6.19876613118e-07,-4.82550419133e-05,3.26216955826e-06,5.70725119815e-06,0.0,30.0
13,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,2.43093352642e-05,-3.90763211125e-05,-3.51203850831e-06,1.77277554638e-06,3.29993186516e-06,2.70814484346e-05,-7.81084003543e-07,-2.76092671293e-05,1.19948726779e-05,4.29312251185e-06,0.0,30.0
14,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,-6.44750665386e-06,-1.10870613847e-05,-1.48238934486e-06,6.606846573e-07,1.82270462359e-05,6.51655776488e-06,-1.55892055816e-06,-1.17795395821e-05,4.57050361979e-06,3.04130990302e-06,0.0,30.0
15,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,-6.44750665386e-06,1.10870613847e-05,-1.48238934486e-06,-6.606846573e-07,1.82270462359e-05,-6.51655776488e-06,-1.55892055816e-06,-1.17795395821e-05,-4.57050361979e-06,3.04130990302e-06,0.0,30.0
16,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,2.43093352642e-05,3.90763211125e-05,-3.51203850831e-06,-1.77277554638e-06,3.29993186516e-06,-2.70814484346e-05,-7.81084003543e-07,-2.76092671293e-05,-1.19948726779e-05,4.29312251185e-06,0.0,30.0
17,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,8.98768118647e-05,9.47324913219e-06,-6.32712781127e-06,-4.64277010569e-07,-4.16217699513e-05,-6.21107957393e-06,6.19876613118e-07,-4.82550419133e-05,-3.26216955826e-06,5.70725119815e-06,0.0,30.0
18,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,3.6443874969e-05,-3.69823381527e-05,-4.42969942712e-06,1.31890257064e-06,-1.67066244277e-06,2.84546010647e-05,-5.73935859535e-07,-3.47732125263e-05,8.52773708801e-06,5.00363528665e-06,0.0,30.0
19,tesseroid_vs_spherical_shell_files/effect-model-size30.0.tess-ratio0.0-height2000-pole.txt,-1.48771606011e-06,1.01693584507e-20,-2.70858204264e-06,-8.86737616657e-22,2.34964761526e-05,1.36054667153e-20,-1.50492271094e-06,-2.20087600925e-05,-3.42783645842e-21,4.21350475358e-06,0.0,30.0
